,Search Trends,close
2016-09-01 12:00:00,25.0,173.03
2016-09-01 13:00:00,32.0,172.7
2016-09-01 14:00:00,36.0,173.26
2016-09-01 15:00:00,38.0,173.79
2016-09-02 09:00:00,5.0,187.94
2016-09-02 10:00:00,10.0,185.05
2016-09-02 11:00:00,20.0,185.01
2016-09-02 12:00:00,28.0,184.43
2016-09-02 13:00:00,34.0,184.36
2016-09-02 14:00:00,39.0,185.93
2016-09-02 15:00:00,42.0,186.17
2016-09-06 09:00:00,6.0,186.62
2016-09-06 10:00:00,13.0,186.05
2016-09-06 11:00:00,24.0,186.17
2016-09-06 12:00:00,35.0,186.39
2016-09-06 13:00:00,42.0,186.31
2016-09-06 14:00:00,46.0,186.5
2016-09-06 15:00:00,51.0,186.29
2016-09-07 09:00:00,6.0,186.15
2016-09-07 10:00:00,12.0,185.355
2016-09-07 11:00:00,24.0,184.24
2016-09-07 12:00:00,35.0,183.66
2016-09-07 13:00:00,41.0,183.0
2016-09-07 14:00:00,47.0,182.61
2016-09-07 15:00:00,50.0,181.96
2016-09-08 09:00:00,6.0,181.84
2016-09-08 10:00:00,13.0,182.12
2016-09-08 11:00:00,24.0,182.69
2016-09-08 12:00:00,34.0,182.75
2016-09-08 13:00:00,40.0,182.41
2016-09-08 14:00:00,45.0,183.01
2016-09-08 15:00:00,48.0,183.18
2016-09-09 09:00:00,7.0,182.0
2016-09-09 10:00:00,13.0,180.975
2016-09-09 11:00:00,24.0,180.33
2016-09-09 12:00:00,35.0,179.13
2016-09-09 13:00:00,40.0,178.9
2016-09-09 14:00:00,44.0,179.88
2016-09-09 15:00:00,47.0,179.35
2016-09-12 09:00:00,6.0,177.76
2016-09-12 10:00:00,13.0,178.49
2016-09-12 11:00:00,24.0,178.045
2016-09-12 12:00:00,36.0,177.69
2016-09-12 13:00:00,44.0,177.86
2016-09-12 14:00:00,51.0,179.0
2016-09-12 15:00:00,55.0,179.71
2016-09-13 09:00:00,7.0,177.15
2016-09-13 10:00:00,14.0,175.97
2016-09-13 11:00:00,26.0,175.52
2016-09-13 12:00:00,37.0,175.66
2016-09-13 13:00:00,44.0,176.97
2016-09-13 14:00:00,49.0,176.63
2016-09-13 15:00:00,52.0,176.89
2016-09-14 09:00:00,7.0,176.27
2016-09-14 10:00:00,15.0,176.17
2016-09-14 11:00:00,26.0,174.56
2016-09-14 12:00:00,38.0,173.68
2016-09-14 13:00:00,45.0,173.29
2016-09-14 14:00:00,52.0,172.96
2016-09-14 15:00:00,56.0,172.09
2016-09-15 09:00:00,7.0,172.19
2016-09-15 10:00:00,15.0,173.34
2016-09-15 11:00:00,27.0,173.69
2016-09-15 12:00:00,39.0,174.1
2016-09-15 13:00:00,45.0,174.81
2016-09-15 14:00:00,50.0,174.19
2016-09-15 15:00:00,52.0,174.64
2016-09-16 09:00:00,7.0,174.75
2016-09-16 10:00:00,15.0,175.78
2016-09-16 11:00:00,26.0,176.36
2016-09-16 12:00:00,37.0,176.46
2016-09-16 13:00:00,42.0,176.27
2016-09-16 14:00:00,46.0,176.91
2016-09-16 15:00:00,49.0,177.32
2016-09-19 09:00:00,6.0,179.92
2016-09-19 10:00:00,13.0,178.89
2016-09-19 11:00:00,24.0,179.82
2016-09-19 12:00:00,35.0,178.81
2016-09-19 13:00:00,43.0,178.51
2016-09-19 14:00:00,50.0,179.99
